년도	분기	표준코드	분류	지점_명칭	지점_주소	심도	심도구분	수위	pH	EC	DO	ORP	T	Na+	K+	Ca2+	Mg2+	염소이온	황산이온	중탄산염이온	탄산염이온	질산염이온	질산성질소	카드뮴	비소	시안	수은	페놀	납	크롬	TCE	PCE	1.1.1-TCE	벤젠	톨루엔	에틸벤젠	크실렌	총대장균군	탁도
2013	3분기	GN-CWN-E1-0001	광산	창원월계	경남 창원시 의창구 북면 월계리103-1번지	120	3	기존공	5.7	413	1.3	136	16.7	32.9	0.6	51	5.7	21.2	33.2	149	불검출	19.6	4.4	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.73
2013	3분기	GN-CWN-E1-0002	광산	창원화양	경남 창원시 의창구 동읍 화양리 41번지	155	3	기존공	7.2	218	0.3	135	16.2	22.3	0.2	22.9	0.6	7.7	33	71	불검출	1	0.2	불검출	0.008	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	2	0.31
2013	3분기	CB-CHW-E1-0007	산업단지	청원양청	충북 청원군 오창읍 양청리 811	120	3	기존공	6.2	172	2.6	217	16.7	15.4	1.1	11.2	2.3	5.9	4.7	71	불검출	2.5	0.6	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	33	8.63
2013	3분기	GW-PCG-E1-0010	기타(축산/농업지역)	평창대관령	강원도 평창군 대관령면 횡계1리 335-1	10	1	7.67	6	446	5.4	156	14.5	23.9	1.6	46.4	4.8	35.5	6.2	14	불검출	157.1	35.5	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.91
2013	3분기	GW-PCG-E1-0011	기타(축산/농업지역)	평창대관령	강원도 평창군 대관령면 횡계1리 335-1	27	2	7.91	6.9	266	5.2	123	11.2	17.2	1.1	19.4	4.6	21.1	3	25	불검출	69.9	15.8	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.93
2013	3분기	GW-PCG-E1-0012	기타(축산/농업지역)	평창대관령	강원도 평창군 대관령면 횡계1리 335-1	100	3	3.62	7.4	347	6.3	138	12.1	23	1.2	29.5	5.9	17.4	7	69	불검출	71.8	16.2	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.91
2013	3분기	GW-PCG-E1-0007	기타(축산/농업지역)	평창횡계	강원도 평창군 대관령면 횡계리 198-2	10	1	5.25	6.3	280	7	136	10.8	18.2	0.8	25.2	4	43.7	2.4	42	불검출	18.9	4.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.57
2013	3분기	GW-PCG-E1-0008	기타(축산/농업지역)	평창횡계	강원도 평창군 대관령면 횡계리 198-2	25	2	5.2	6	920	2.3	129	10.5	27.6	1.7	85.1	21.3	201.6	2.8	71	불검출	34.1	7.7	불검출	0.005	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.14
2013	3분기	GW-PCG-E1-0009	기타(축산/농업지역)	평창횡계	강원도 평창군 대관령면 횡계리 198-2	100	3	4.72	6.6	554	6.1	130	10.8	23.2	1.2	53.6	12.5	95	2.1	95	불검출	53.4	12.1	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.09
2013	3분기	GG-PTK-E1-0007	산업단지	평택노와	경기도 평택시 팽성읍 노와리 155-1	80	3	기존공	6.8	364	7.2	252	21	22.4	1.7	35	8.2	43.1	9.7	59	불검출	49.5	11.2	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	0.19
2013	3분기	GB-KPO-E1-0008	산업단지	포항연일	경북 포항시 남구 연일읍 동문리 47-1	10	1	1.46	7.2	907	2.1	-167	17	97	49.9	63.6	22.1	132.3	99.4	229	불검출	불검출	불검출	불검출	0.02	-	불검출	-	불검출	0.02	-	-	-	불검출	불검출	불검출	불검출	-	0.92
2013	3분기	GB-KPO-E1-0009	산업단지	포항연일	경북 포항시 남구 연일읍 동문리 47-1	30	2	3.76	7.5	1890	0.1	-252	15.4	333.7	38.8	48.9	38.5	462.8	5.3	407	불검출	불검출	불검출	불검출	0.011	-	불검출	-	불검출	0.05	-	-	-	불검출	불검출	불검출	불검출	-	0.91
2013	3분기	GB-KPO-E1-0004	산업단지	포항인덕	경북 포항시 남구 인덕동 161-1	10	1	5.08	5.6	827	3.1	169	17.8	53.9	11.2	82.1	29.5	29.3	373.2	72	불검출	17	3.8	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	0.18
2013	3분기	GB-KPO-E1-0005	산업단지	포항인덕	경북 포항시 남구 인덕동 161-1	33	2	11.23	5.2	280	0.2	55	17.3	38.3	3.2	4.8	5.3	28.7	73.9	20	불검출	1.2	0.3	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	0.14
2013	3분기	GB-KPO-E1-0006	산업단지	포항청림	경북 포항시 남구 청림동 914-2	10	1	5.72	6	428	3.3	92	19.5	37.2	8.4	37	13	65.4	75.7	87	불검출	20.2	4.6	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	0.11
2013	3분기	GB-KPO-E1-0007	산업단지	포항청림	경북 포항시 남구 청림동 914-2	30	2	5.56	7.7	1401	0.1	-210	17.2	325.6	8.1	6.1	3.5	297.1	2.8	333	불검출	불검출	불검출	불검출	0.008	-	불검출	-	불검출	0.05	-	-	-	불검출	불검출	불검출	불검출	-	0.22
2013	3분기	GB-KPO-E1-0010	산업단지	포항호동	경북 포항시 남구 호동 628	10	1	5.66	6.2	1860	1.9	76	19.4	83.8	11.7	318.2	93.6	17.3	1158	335	불검출	불검출	불검출	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	0.93
2013	3분기	GB-KPO-E1-0011	산업단지	포항호동	경북 포항시 남구 호동 628	30	2	5.79	6.2	2380	0.2	-123	17	458	10.9	129.1	55.4	57.3	1192.1	446	불검출	불검출	불검출	불검출	0.005	-	불검출	-	불검출	0.03	-	-	-	불검출	불검출	불검출	불검출	<2	46.2
2013	4분기	GW-GAG-E1-0001	기타(매립지)	강릉강동	강원도 강릉시 강동면 임곡리 산25	13	1	12	5	439	5.8	128	11.9	16.4	5.8	17.7	28.9	23.2	180.9	2	불검출	36.9	8.3	0.002	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	79	3343
2013	4분기	GW-GAG-E1-0002	기타(매립지)	강릉강동	강원도 강릉시 강동면 임곡리 산25	30	2	13.32	6.1	840	4.5	132	12.9	20	1.8	81.4	57.5	9.3	467.2	34	불검출	5	1.1	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.94
2013	4분기	GW-GAG-E1-0003	기타(매립지)	강릉강동	강원도 강릉시 강동면 임곡리 산25	150	3	기존공	7.9	119	6.7	93	9.3	4.6	0.4	16.9	1.8	6.6	15.4	41	불검출	2.3	0.5	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.93
2013	4분기	GW-GAG-E1-0004	기타(도심지)	강릉교동	강원도 강릉시 교2동 408	12	1	4.86	6.3	703	0.2	84	14.6	52.4	1.8	76.4	31.1	133.1	5.6	256	불검출	1.2	0.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	8.55
2013	4분기	GW-GAG-E1-0005	기타(도심지)	강릉교동	강원도 강릉시 교2동 408	30	2	5.01	6.4	409	0.1	20	14.9	37.8	2.1	37.8	22.3	48.7	6.9	212	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.2
2013	4분기	GW-GAG-E1-0006	기타(도심지)	강릉교동	강원도 강릉시 교2동 408	150	3	11.24	7.1	286	5.8	4	13.1	22.8	2.4	28.7	13.6	12.5	11	149	불검출	19.3	4.4	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.53
2013	4분기	GW-GAG-E1-0010	기타(도심지)	강릉두산	강원도 강릉시 두산동 10	10	1	2.66	7.2	1196	6.6	68	15.4	206.8	10.6	21.3	36.6	334.6	42.1	107	불검출	1.2	0.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	7.64
2013	4분기	GW-GAG-E1-0011	기타(도심지)	강릉두산	강원도 강릉시 두산동 10	30	2	2.57	7.3	2129	0.2	-3	15.3	410.8	10.2	11.7	28.1	583	73.7	112	불검출	1.2	0.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.91
2013	4분기	GW-GAG-E1-0012	기타(도심지)	강릉두산	강원도 강릉시 두산동 10	80	3	4.22	6.7	29210	0.2	-35	13.3	5088	59.3	1926.6	1344	13003	1393.1	131	불검출	2.3	0.5	불검출	0.005	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	10.1
2013	4분기	GW-GAG-E1-0007	기타(도심지)	강릉장현	강원도 강릉시 장현동 74-7	10	1	3.57	6.5	283	0.1	-4	14.2	23	1.8	10.6	7.5	34.6	25	65	불검출	1.1	0.2	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	77.2
